date,region,category,price,quantity,revenue
2023-01-18 00:56:10.723574524,West,B,68.82,7,486.29
2023-01-18 06:46:41.733911303,East,A,44.47,4,172.98
2023-01-18 12:37:12.744248082,South,B,70.23,9,605.68
2023-01-18 18:27:43.754584861,East,B,74.79,1,70.28
2023-01-19 00:18:14.764921640,East,B,80.5,1,82.02
2023-01-19 06:08:45.775258419,West,B,38.89,8,300.2
2023-01-19 11:59:16.785595198,South,D,18.74,6,117.88
2023-01-19 17:49:47.795931977,West,D,85.1,3,262.44
2023-01-19 23:40:18.806268756,West,D,12.27,4,47.37
2023-01-20 05:30:49.816605535,West,B,31.49,6,182.27
2023-01-20 11:21:20.826942314,North,D,87.14,10,820.19
2023-01-20 17:11:51.837279093,South,B,14.54,6,85.86
2023-01-20 23:02:22.847615872,East,D,27.47,6,173.11
2023-01-21 04:52:53.857952650,North,A,52.83,10,500.15
2023-01-21 10:43:24.868289429,South,A,31.17,3,95.62
2023-01-21 16:33:55.878626208,East,B,42.32,10,465.79
2023-01-21 22:24:26.888962987,East,D,23.06,8,191.57
2023-01-22 04:14:57.899299766,South,C,22.21,7,151.51
2023-01-22 10:05:28.909636545,East,A,18.8,5,95.42
2023-01-22 15:55:59.919973324,North,A,23.65,5,118.66
2023-01-22 21:46:30.930310103,North,B,23.01,7,153.41
2023-01-23 03:37:01.940646882,East,C,12.65,3,38.75
2023-01-23 09:27:32.950983661,South,D,75.63,8,613.33
2023-01-23 15:18:03.961320440,East,A,70.86,8,595.23
2023-01-23 21:08:34.971657219,East,B,49.92,4,207.95
2023-01-24 02:59:05.981993998,East,D,21.24,9,178.08
2023-01-24 08:49:36.992330777,West,A,25.82,2,52.13
2023-01-24 14:40:08.002667555,South,B,64.87,8,494.86
2023-01-24 20:30:39.013004334,East,D,34.47,8,297.54
2023-01-25 02:21:10.023341113,East,C,74.15,10,695.51
2023-01-25 08:11:41.033677892,East,A,42.94,4,165.95
2023-01-25 14:02:12.044014671,West,C,35.18,2,68.44
2023-01-25 19:52:43.054351450,North,C,89.34,8,730.07
2023-01-26 01:43:14.064688229,West,A,25.0,5,125.08
2023-01-26 07:33:45.075025008,West,D,19.08,10,178.99
2023-01-26 13:24:16.085361787,South,B,97.67,2,207.18
2023-01-26 19:14:47.095698566,East,C,96.08,4,364.36
2023-01-27 01:05:18.106035345,West,C,21.28,9,180.18
2023-01-27 06:55:49.116372124,North,A,21.84,8,158.74
2023-01-27 12:46:20.126708903,West,D,40.64,4,164.12
2023-01-27 18:36:51.137045682,West,B,55.05,6,329.58
2023-01-28 00:27:22.147382461,West,C,86.28,6,496.9
2023-01-28 06:17:53.157719239,South,C,61.14,9,511.37
2023-01-28 12:08:24.168056018,South,C,29.48,4,118.29
2023-01-28 17:58:55.178392797,South,D,65.93,5,305.43
2023-01-28 23:49:26.188729576,West,C,44.76,5,229.27
2023-01-29 05:39:57.199066355,North,D,44.63,4,189.13
2023-01-29 11:30:28.209403134,South,B,27.02,2,52.72
2023-01-29 17:20:59.219739913,East,D,96.17,2,195.75
2023-01-29 23:11:30.230076692,South,A,21.08,4,88.33
2023-01-30 05:02:01.240413471,South,D,17.79,8,135.65
2023-01-30 10:52:32.250750250,East,A,64.16,5,339.86
2023-01-30 16:43:03.261087029,East,A,63.63,5,334.35
2023-01-30 22:33:34.271423808,East,D,21.35,8,169.45
2023-01-31 04:24:05.281760587,West,C,65.35,9,645.85
2023-01-31 10:14:36.292097365,North,B,39.46,1,36.08
2023-01-31 16:05:07.302434144,West,B,41.08,5,207.5
2023-01-31 21:55:38.312770923,North,B,40.66,7,299.64
2023-02-01 03:46:09.323107702,North,D,21.01,3,66.61
2023-02-01 09:36:40.333444481,West,B,95.43,8,735.28
2023-02-01 15:27:11.343781260,East,D,41.85,5,228.69
2023-02-01 21:17:42.354118039,West,A,54.14,3,142.72
2023-02-02 03:08:13.364454818,South,B,15.62,3,42.71
2023-02-02 08:58:44.374791597,South,D,54.03,8,435.87
2023-02-02 14:49:15.385128376,North,A,41.49,4,155.16
2023-02-02 20:39:46.395465155,East,D,96.5,5,501.34
2023-02-03 02:30:17.405801934,East,C,33.76,4,141.97
2023-02-03 08:20:48.416138713,South,D,76.22,9,630.76
2023-02-03 14:11:19.426475492,East,C,54.89,6,339.32
2023-02-03 20:01:50.436812270,South,B,93.41,6,530.75
2023-02-04 01:52:21.447149049,South,B,70.87,5,362.41
2023-02-04 07:42:52.457485828,East,D,16.55,5,72.42
2023-02-04 13:33:23.467822607,West,A,33.49,9,300.4
2023-02-04 19:23:54.478159386,West,B,26.81,6,151.23
2023-02-05 01:14:25.488496165,South,A,67.99,2,132.58
2023-02-05 07:04:56.498832944,East,D,15.57,1,15.46
2023-02-05 12:55:27.509169723,North,D,40.63,6,242.55
2023-02-05 18:45:58.519506502,West,A,54.21,7,382.55
2023-02-06 00:36:29.529843281,West,C,80.64,1,77.29
2023-02-06 06:27:00.540180060,East,A,13.17,5,63.36
2023-02-06 12:17:31.550516839,West,C,64.81,7,474.09
2023-02-06 18:08:02.560853618,West,D,63.15,2,130.91
2023-02-06 23:58:33.571190396,West,B,14.2,10,139.88
2023-02-07 05:49:04.581527175,West,C,25.99,10,263.78
2023-02-07 11:39:35.591863954,West,C,82.06,2,159.1
2023-02-07 17:30:06.602200733,West,B,34.21,8,261.4
2023-02-07 23:20:37.612537512,North,A,30.73,6,180.19
2023-02-08 05:11:08.622874291,South,A,86.53,7,616.77
2023-02-08 11:01:39.633211070,West,A,87.85,6,484.22
2023-02-08 16:52:10.643547849,East,C,48.67,9,415.9
2023-02-08 22:42:41.653884628,West,C,64.02,4,265.02
2023-02-09 04:33:12.664221407,West,C,37.21,4,151.15
2023-02-09 10:23:43.674558186,South,B,42.42,10,448.51
2023-02-09 16:14:14.684894965,South,B,79.5,7,559.6
2023-02-09 22:04:45.695231744,East,C,65.62,6,403.39
2023-02-10 03:55:16.705568523,South,A,74.69,4,287.55
2023-02-10 09:45:47.715905301,West,B,52.15,7,324.9
2023-02-10 15:36:18.726242080,West,A,88.13,7,614.93
2023-02-10 21:26:49.736578859,North,A,12.3,5,56.16
2023-02-11 03:17:20.746915638,East,D,74.88,10,744.42
2023-02-11 09:07:51.757252417,South,A,43.65,1,44.67
2023-02-11 14:58:22.767589196,East,C,23.78,6,152.24
2023-02-11 20:48:53.777925975,North,A,51.36,2,104.1
2023-02-12 02:39:24.788262754,South,D,45.09,1,47.92
2023-02-12 08:29:55.798599533,South,B,69.13,7,480.54
2023-02-12 14:20:26.808936312,East,A,99.96,1,99.86
2023-02-12 20:10:57.819273091,North,B,28.48,6,170.22
2023-02-13 02:01:28.829609870,West,B,75.64,8,589.31
2023-02-13 07:51:59.839946649,South,B,73.81,9,641.8
2023-02-13 13:42:30.850283427,West,D,97.28,9,861.25
2023-02-13 19:33:01.860620206,East,A,70.3,3,215.5
2023-02-14 01:23:32.870956985,North,A,57.87,5,298.95
2023-02-14 07:14:03.881293764,West,C,76.33,6,435.1
2023-02-14 13:04:34.891630543,North,C,20.31,10,207.51
2023-02-14 18:55:05.901967322,North,A,65.34,9,599.32
2023-02-15 00:45:36.912304101,South,A,38.0,7,281.31
2023-02-15 06:36:07.922640880,West,D,91.83,6,571.41
2023-02-15 12:26:38.932977659,North,C,99.44,10,969.19
2023-02-15 18:17:09.943314438,North,C,96.55,5,436.26
2023-02-16 00:07:40.953651217,North,C,31.27,6,178.06
2023-02-16 05:58:11.963987996,South,D,36.33,5,180.12
2023-02-16 11:48:42.974324775,South,A,81.6,3,249.64
2023-02-16 17:39:13.984661554,West,C,40.9,5,205.62
2023-02-16 23:29:44.994998332,North,C,24.09,3,79.37
2023-02-17 05:20:16.005335111,South,B,66.27,2,139.71
2023-02-17 11:10:47.015671890,North,D,29.08,10,284.58
2023-02-17 17:01:18.026008669,North,C,58.8,9,574.85
2023-02-17 22:51:49.036345448,West,A,88.81,5,416.82
2023-02-18 04:42:20.046682227,West,C,61.96,5,303.3
2023-02-18 10:32:51.057019006,West,B,47.11,7,315.29
2023-02-18 16:23:22.067355785,West,A,73.23,5,415.23
2023-02-18 22:13:53.077692564,North,A,92.75,9,786.09
2023-02-19 04:04:24.088029343,West,C,53.36,3,162.09
2023-02-19 09:54:55.098366122,East,D,31.63,1,32.11
2023-02-19 15:45:26.108702901,West,A,96.43,3,286.31
2023-02-19 21:35:57.119039680,North,D,72.2,7,517.03
2023-02-20 03:26:28.129376458,North,C,99.21,8,821.71
2023-02-20 09:16:59.139713237,North,D,43.97,3,133.21
2023-02-20 15:07:30.150050016,North,B,26.41,1,24.26
2023-02-20 20:58:01.160386795,West,D,74.58,1,74.34
2023-02-21 02:48:32.170723574,South,B,24.05,7,174.33
2023-02-21 08:39:03.181060353,West,A,35.23,6,210.77
2023-02-21 14:29:34.191397132,East,C,35.84,2,70.17
2023-02-21 20:20:05.201733911,South,A,52.59,5,266.83
2023-02-22 02:10:36.212070690,West,A,69.95,9,610.21
2023-02-22 08:01:07.222407469,North,B,85.4,7,627.78
2023-02-22 13:51:38.232744248,East,B,46.85,3,148.68
2023-02-22 19:42:09.243081027,North,A,92.9,3,294.61
2023-02-23 01:32:40.253417806,East,C,18.96,1,16.79
2023-02-23 07:23:11.263754585,South,C,75.44,3,230.91
2023-02-23 13:13:42.274091364,North,D,44.77,1,46.45
2023-02-23 19:04:13.284428143,West,A,67.81,1,73.11
2023-02-24 00:54:44.294764922,South,B,52.25,1,48.57
2023-02-24 06:45:15.305101700,South,C,27.1,3,78.89
2023-02-24 12:35:46.315438479,North,D,93.59,6,572.54
2023-02-24 18:26:17.325775258,East,C,92.42,7,657.69
2023-02-25 00:16:48.336112037,East,B,66.26,4,252.38
2023-02-25 06:07:19.346448816,South,B,55.79,3,176.82
2023-02-25 11:57:50.356785595,East,B,69.56,8,590.76
2023-02-25 17:48:21.367122374,West,C,83.3,2,170.52
2023-02-25 23:38:52.377459153,North,B,33.34,3,97.41
2023-02-26 05:29:23.387795932,North,A,35.5,1,36.09
2023-02-26 11:19:54.398132711,North,A,73.69,1,76.58
2023-02-26 17:10:25.408469490,East,C,31.12,3,92.61
2023-02-26 23:00:56.418806269,South,A,75.51,6,440.08
2023-02-27 04:51:27.429143048,South,D,76.77,2,154.5
2023-02-27 10:41:58.439479826,East,B,37.13,3,114.95
2023-02-27 16:32:29.449816605,East,B,43.18,2,83.38
2023-02-27 22:23:00.460153384,West,A,96.99,8,811.62
2023-02-28 04:13:31.470490163,South,D,62.02,3,176.71
2023-02-28 10:04:02.480826942,North,A,92.14,6,535.87
2023-02-28 15:54:33.491163721,South,B,64.79,5,324.58
2023-02-28 21:45:04.501500500,West,D,76.52,8,559.88
2023-03-01 03:35:35.511837279,North,A,69.1,4,280.17
2023-03-01 09:26:06.522174058,South,C,36.95,10,369.51
2023-03-01 15:16:37.532510837,South,A,63.7,7,476.8
2023-03-01 21:07:08.542847616,East,A,42.52,1,41.57
2023-03-02 02:57:39.553184395,North,C,17.53,6,105.38
2023-03-02 08:48:10.563521174,North,A,48.92,4,217.14
2023-03-02 14:38:41.573857953,North,C,70.97,10,704.0
2023-03-02 20:29:12.584194731,North,C,29.58,6,171.18
2023-03-03 02:19:43.594531510,East,C,19.92,5,93.38
2023-03-03 08:10:14.604868289,East,B,95.88,9,827.12
2023-03-03 14:00:45.615205068,North,B,88.08,7,609.16
2023-03-03 19:51:16.625541847,North,D,38.86,10,380.18
2023-03-04 01:41:47.635878626,South,A,90.25,8,700.3
2023-03-04 07:32:18.646215405,North,A,28.3,10,307.15
2023-03-04 13:22:49.656552184,North,B,60.32,7,416.56
2023-03-04 19:13:20.666888963,South,D,86.78,4,332.09
2023-03-05 01:03:51.677225742,North,C,57.46,5,288.07
2023-03-05 06:54:22.687562521,North,B,39.5,4,166.7
2023-03-05 12:44:53.697899300,North,D,92.93,1,96.48
2023-03-05 18:35:24.708236079,South,C,76.95,10,797.8
2023-03-06 00:25:55.718572857,East,C,77.37,6,474.64
2023-03-06 06:16:26.728909636,North,C,88.05,2,160.52
2023-03-06 12:06:57.739246415,East,A,74.55,9,606.56
2023-03-06 17:57:28.749583194,North,B,37.92,9,320.84
2023-03-06 23:47:59.759919973,East,C,79.55,8,607.12
2023-03-07 05:38:30.770256752,South,A,81.89,7,566.08
2023-03-07 11:29:01.780593531,West,B,29.72,6,188.32
2023-03-07 17:19:32.790930310,South,A,53.58,1,54.09
2023-03-07 23:10:03.801267089,West,C,76.55,4,334.39
2023-03-08 05:00:34.811603868,South,D,73.07,7,534.95
2023-03-08 10:51:05.821940647,South,C,39.7,9,339.32
2023-03-08 16:41:36.832277426,West,A,22.01,1,23.2
2023-03-08 22:32:07.842614205,South,A,28.88,6,164.41
2023-03-09 04:22:38.852950984,East,D,91.29,3,269.95
2023-03-09 10:13:09.863287762,East,C,12.63,10,131.44
2023-03-09 16:03:40.873624541,East,D,54.38,9,489.89
2023-03-09 21:54:11.883961320,West,A,44.16,6,260.86
2023-03-10 03:44:42.894298099,East,C,96.25,4,364.63
2023-03-10 09:35:13.904634878,East,D,86.9,8,748.06
2023-03-10 15:25:44.914971657,South,B,27.53,9,238.84
2023-03-10 21:16:15.925308436,North,D,71.16,4,271.24
2023-03-11 03:06:46.935645215,East,B,33.43,2,68.49
2023-03-11 08:57:17.945981994,West,D,73.06,10,736.65
2023-03-11 14:47:48.956318773,North,B,14.21,4,60.65
2023-03-11 20:38:19.966655552,West,D,27.29,4,111.91
2023-03-12 02:28:50.976992331,West,D,95.81,5,471.68
2023-03-12 08:19:21.987329110,North,D,23.22,10,217.89
2023-03-12 14:09:52.997665888,West,B,28.33,7,194.56
2023-03-12 20:00:24.008002667,West,B,37.81,9,321.18
2023-03-13 01:50:55.018339446,West,B,37.88,4,157.11
2023-03-13 07:41:26.028676225,North,A,44.54,5,222.61
2023-03-13 13:31:57.039013004,South,C,23.7,1,22.88
2023-03-13 19:22:28.049349783,West,A,28.49,4,113.19
2023-03-14 01:12:59.059686562,East,B,70.25,7,466.66
2023-03-14 07:03:30.070023341,South,B,14.4,10,146.28
2023-03-14 12:54:01.080360120,East,A,59.76,3,160.19
2023-03-14 18:44:32.090696899,South,C,35.33,4,132.15
2023-03-15 00:35:03.101033678,South,C,38.47,4,161.52
2023-03-15 06:25:34.111370457,South,B,93.13,6,541.44
2023-03-15 12:16:05.121707236,North,B,44.18,4,177.22
2023-03-15 18:06:36.132044015,West,D,95.53,3,299.21
2023-03-15 23:57:07.142380793,East,D,63.11,9,558.41
2023-03-16 05:47:38.152717572,East,B,68.98,8,571.38
2023-03-16 11:38:09.163054351,East,A,34.19,9,304.45
2023-03-16 17:28:40.173391130,West,B,66.17,7,499.66
2023-03-16 23:19:11.183727909,West,C,99.51,9,913.17
2023-03-17 05:09:42.194064688,East,A,46.89,7,350.47
2023-03-17 11:00:13.204401467,East,A,95.34,2,181.89
2023-03-17 16:50:44.214738246,East,D,52.48,6,316.67
2023-03-17 22:41:15.225075025,West,D,51.23,6,294.08
2023-03-18 04:31:46.235411804,West,D,91.34,5,464.46
2023-03-18 10:22:17.245748583,North,A,86.97,4,383.71
2023-03-18 16:12:48.256085362,South,B,18.76,7,122.45
2023-03-18 22:03:19.266422141,West,B,58.5,7,406.35
2023-03-19 03:53:50.276758919,East,D,70.88,7,518.31
2023-03-19 09:44:21.287095698,South,D,28.62,10,279.82
2023-03-19 15:34:52.297432477,East,A,30.02,7,205.3
2023-03-19 21:25:23.307769256,North,B,85.04,1,85.15
2023-03-20 03:15:54.318106035,East,C,74.4,9,680.85
2023-03-20 09:06:25.328442814,West,D,86.04,1,77.18
2023-03-20 14:56:56.338779593,West,D,18.74,7,127.9
2023-03-20 20:47:27.349116372,East,D,11.64,1,10.84
2023-03-21 02:37:58.359453151,East,C,68.04,2,136.37
2023-03-21 08:28:29.369789930,West,A,42.91,5,205.94
2023-03-21 14:19:00.380126709,West,A,94.44,7,613.8
2023-03-21 20:09:31.390463488,East,B,39.4,3,120.13
2023-03-22 02:00:02.400800267,North,C,66.7,1,68.75
2023-03-22 07:50:33.411137046,South,B,10.15,7,74.6
2023-03-22 13:41:04.421473824,West,C,41.39,5,202.88
2023-03-22 19:31:35.431810603,North,D,65.88,10,638.07
2023-03-23 01:22:06.442147382,West,B,15.5,4,62.91
2023-03-23 07:12:37.452484161,North,A,86.89,10,830.35
2023-03-23 13:03:08.462820940,East,D,11.96,4,48.0
2023-03-23 18:53:39.473157719,South,A,72.04,5,329.9
2023-03-24 00:44:10.483494498,South,D,86.13,4,355.8
2023-03-24 06:34:41.493831277,East,C,73.25,5,370.94
2023-03-24 12:25:12.504168056,North,D,37.77,9,350.44
2023-03-24 18:15:43.514504835,East,A,11.89,1,11.83
2023-03-25 00:06:14.524841614,South,D,88.56,6,547.47
2023-03-25 05:56:45.535178393,South,B,63.6,1,62.74
2023-03-25 11:47:16.545515172,East,D,62.36,2,123.27
2023-03-25 17:37:47.555851950,South,D,68.48,4,295.52
2023-03-25 23:28:18.566188729,West,A,57.18,1,54.74
2023-03-26 05:18:49.576525508,South,B,74.45,4,316.41
2023-03-26 11:09:20.586862287,South,A,88.88,2,153.89
2023-03-26 16:59:51.597199066,South,A,15.5,7,114.82
2023-03-26 22:50:22.607535845,West,C,59.23,10,594.57
2023-03-27 04:40:53.617872624,South,B,67.06,1,67.44
2023-03-27 10:31:24.628209403,North,B,12.63,4,51.33
2023-03-27 16:21:55.638546182,West,A,57.39,2,112.99
2023-03-27 22:12:26.648882961,East,D,11.58,9,107.79
2023-03-28 04:02:57.659219740,East,D,16.72,4,65.73
2023-03-28 09:53:28.669556519,West,C,98.93,2,185.48
2023-03-28 15:43:59.679893298,West,C,59.41,8,493.53
2023-03-28 21:34:30.690230077,West,C,45.43,3,134.6
2023-03-29 03:25:01.700566855,North,B,57.41,8,515.41
2023-03-29 09:15:32.710903634,West,D,33.79,9,290.69
2023-03-29 15:06:03.721240413,North,A,25.26,9,220.77
2023-03-29 20:56:34.731577192,East,A,88.38,5,432.56
2023-03-30 02:47:05.741913971,East,C,82.69,3,261.71
2023-03-30 08:37:36.752250750,West,B,35.27,1,39.16
2023-03-30 14:28:07.762587529,North,A,97.29,1,98.16
2023-03-30 20:18:38.772924308,North,B,29.28,9,269.8
2023-03-31 02:09:09.783261087,North,B,84.04,8,650.23
2023-03-31 07:59:40.793597866,East,B,75.54,2,156.17
2023-03-31 13:50:11.803934645,North,A,80.68,10,785.19
2023-03-31 19:40:42.814271424,North,C,39.18,9,378.47
2023-04-01 01:31:13.824608203,West,A,99.18,5,485.27
2023-04-01 07:21:44.834944981,West,A,96.26,5,423.06
2023-04-01 13:12:15.845281760,South,B,63.33,7,420.8
2023-04-01 19:02:46.855618539,West,D,22.5,8,192.81
2023-04-02 00:53:17.865955318,East,D,70.3,9,640.24
2023-04-02 06:43:48.876292097,West,A,31.3,10,327.64
2023-04-02 12:34:19.886628876,East,D,20.11,2,39.56
2023-04-02 18:24:50.896965655,South,D,85.14,3,230.35
2023-04-03 00:15:21.907302434,West,C,75.25,5,373.74
2023-04-03 06:05:52.917639213,East,C,37.1,6,231.15
2023-04-03 11:56:23.927975992,East,A,26.66,4,103.52
2023-04-03 17:46:54.938312771,South,A,98.82,9,905.36
2023-04-03 23:37:25.948649550,North,C,46.92,5,230.26
2023-04-04 05:27:56.958986329,South,B,44.18,6,266.32
2023-04-04 11:18:27.969323108,West,C,13.48,5,66.41
2023-04-04 17:08:58.979659886,South,D,14.93,6,85.41
2023-04-04 22:59:29.989996665,North,B,72.2,6,407.52
2023-04-05 04:50:01.000333444,East,D,14.25,7,99.96
2023-04-05 10:40:32.010670223,North,C,57.74,4,235.79
2023-04-05 16:31:03.021007002,North,C,83.15,10,900.93
2023-04-05 22:21:34.031343781,East,D,28.18,6,170.22
2023-04-06 04:12:05.041680560,North,B,70.75,6,413.97
2023-04-06 10:02:36.052017339,North,D,22.11,1,23.69
2023-04-06 15:53:07.062354118,North,D,41.79,1,42.56
2023-04-06 21:43:38.072690897,South,C,66.97,7,482.63
2023-04-07 03:34:09.083027676,East,B,12.25,2,25.04
2023-04-07 09:24:40.093364455,North,A,74.56,6,430.57
2023-04-07 15:15:11.103701234,South,D,22.94,3,73.46
2023-04-07 21:05:42.114038012,West,A,40.6,3,124.52
2023-04-08 02:56:13.124374791,North,A,59.68,3,177.25
2023-04-08 08:46:44.134711570,East,D,41.84,4,166.17
2023-04-08 14:37:15.145048349,East,D,34.74,6,212.05
2023-04-08 20:27:46.155385128,East,D,94.28,7,632.45
2023-04-09 02:18:17.165721907,East,C,84.72,3,259.1
2023-04-09 08:08:48.176058686,East,B,51.26,5,253.01
2023-04-09 13:59:19.186395465,North,B,14.4,10,141.36
2023-04-09 19:49:50.196732244,North,A,22.98,4,95.03
2023-04-10 01:40:21.207069023,North,A,57.07,5,266.51
2023-04-10 07:30:52.217405802,West,A,21.12,4,85.9
2023-04-10 13:21:23.227742581,South,D,38.48,10,362.13
2023-04-10 19:11:54.238079360,East,C,46.12,5,236.44
2023-04-11 01:02:25.248416138,West,B,87.22,4,342.35
2023-04-11 06:52:56.258752917,North,C,19.65,10,197.77
2023-04-11 12:43:27.269089696,West,D,84.91,8,693.25
2023-04-11 18:33:58.279426475,East,B,77.61,1,80.96
2023-04-12 00:24:29.289763254,North,B,27.86,5,138.82
2023-04-12 06:15:00.300100033,South,B,37.93,4,154.26
2023-04-12 12:05:31.310436812,West,C,48.68,8,398.4
2023-04-12 17:56:02.320773591,South,B,22.84,7,166.72
2023-04-12 23:46:33.331110370,North,C,36.58,3,114.66
2023-04-13 05:37:04.341447149,West,B,19.37,1,17.94
2023-04-13 11:27:35.351783928,South,D,84.94,10,850.21
2023-04-13 17:18:06.362120707,West,C,59.58,9,555.85
2023-04-13 23:08:37.372457486,North,A,25.71,9,248.98
2023-04-14 04:59:08.382794265,South,B,89.34,5,431.99
2023-04-14 10:49:39.393131043,East,C,83.52,4,353.74
2023-04-14 16:40:10.403467822,South,C,20.09,7,143.44
2023-04-14 22:30:41.413804601,South,A,88.31,5,453.02
2023-04-15 04:21:12.424141380,West,D,52.28,10,535.76
2023-04-15 10:11:43.434478160,East,A,66.69,10,694.23
2023-04-15 16:02:14.444814938,East,C,52.67,7,322.14
2023-04-15 21:52:45.455151718,South,A,46.09,7,322.99
2023-04-16 03:43:16.465488496,South,A,76.38,1,76.73
2023-04-16 09:33:47.475825274,West,B,20.98,2,38.71
2023-04-16 15:24:18.486162054,South,C,61.31,4,221.59
2023-04-16 21:14:49.496498832,West,C,91.3,6,564.03
2023-04-17 03:05:20.506835612,East,D,51.89,3,150.56
2023-04-17 08:55:51.517172390,West,B,40.9,8,337.7
2023-04-17 14:46:22.527509170,South,A,71.3,1,76.99
2023-04-17 20:36:53.537845948,North,B,99.46,4,391.41
2023-04-18 02:27:24.548182728,East,C,29.02,8,238.19
2023-04-18 08:17:55.558519506,South,A,49.28,3,143.85
2023-04-18 14:08:26.568856286,West,A,34.22,8,252.23
2023-04-18 19:58:57.579193064,East,C,86.25,5,437.39
2023-04-19 01:49:28.589529844,West,A,48.89,8,409.4
2023-04-19 07:39:59.599866622,North,B,20.26,8,156.35
2023-04-19 13:30:30.610203400,North,D,55.4,3,168.33
2023-04-19 19:21:01.620540180,South,C,20.59,4,79.92
2023-04-20 01:11:32.630876958,West,C,41.21,3,131.52
2023-04-20 07:02:03.641213738,South,D,91.41,2,187.45
